cancer_type,n_samples,Gene,n_samp_mut,frac_samp_mut,n_mut,mut_norm,age_diff,age_diff_l,age_diff_h,age_diff_p
BLCA,452,ARID1A,99,0.21902654867256638,126,5.400387404933571,0.29325534693724364,-1.4494373053969938,2.035947999271481,0.597
BLCA,452,ASXL2,31,0.06858407079646017,38,3.720051509371883,1.1136396410057472,-2.0557509627685135,4.283030244780008,0.714
BLCA,452,ATM,40,0.08849557522123894,46,1.4456429375761053,-2.225033127872976,-5.10599598414133,0.6559297283953782,0.124
BLCA,452,CDKN1A,42,0.09292035398230089,55,29.8159516466597,-2.188274234592342,-4.823333295675615,0.4467848264909322,0.149
BLCA,452,CDKN2A,20,0.04424778761061947,25,14.997049206495705,-0.6937287800468823,-4.600499231631618,3.2130416715378534,0.388
BLCA,452,CREBBP,48,0.10619469026548672,50,2.080255973092294,-1.093728780046888,-3.857207176481704,1.6697496163879282,0.251
BLCA,452,CTNNB1,16,0.035398230088495575,17,1.812686817132959,-0.15725819181159295,-4.894378323187043,4.579861939563857,0.458
BLCA,452,CUL1,18,0.03982300884955752,18,2.253610637516652,-0.3337287800468829,-4.9374470339160785,4.269989473822313,0.47
BLCA,452,DIAPH2,20,0.04424778761061947,21,1.664645244045875,-1.095633541951642,-5.358028926504439,3.1667618426011552,0.302
BLCA,452,ELF3,49,0.1084070796460177,72,17.70780616521821,1.3329378866197885,-0.9706751864815355,3.6365509597211125,0.75
BLCA,452,EP300,67,0.14823008849557523,84,3.176517850975852,-2.5123002086183135,-4.645392178945769,-0.37920823829085837,0.045
BLCA,452,ERBB2,53,0.1172566371681416,62,5.032941211680743,1.634013155436989,-0.8480836636016806,4.116109974475659,0.867
BLCA,452,ERBB3,46,0.10176991150442478,54,8.852367812436984,0.12923418291607902,-2.5300741499971378,2.788542515829296,0.538
BLCA,452,ERCC2,40,0.08849557522123894,40,4.711556536516417,3.0162712199531114,-0.07295578303895711,6.1054982229451795,0.973
BLCA,452,FAT1,46,0.10176991150442478,59,1.3264332821818428,-2.5371186105553534,-5.08142956380197,0.007192342691263676,0.074
BLCA,452,FBXW7,33,0.07300884955752213,39,5.44383333935153,4.230373784055686,1.1018361199767215,7.358911448134651,0.99
BLCA,452,FGFR3,65,0.14380530973451328,70,8.059380792903415,-2.276585922904019,-4.6128101325852935,0.059638286777256244,0.054
BLCA,452,FOXA1,12,0.02654867256637168,12,2.4680133408744727,1.1662712199531171,-4.471631535029316,6.8041739749355505,0.653
BLCA,452,FOXQ1,14,0.030973451327433628,14,3.921505639045064,-1.1194430657611747,-6.339274141046211,4.100388009523861,0.327
BLCA,452,GNA13,13,0.028761061946902654,13,3.3088727614331788,-0.17988262620072248,-5.596680857553393,5.236915605151948,0.467
BLCA,452,HRAS,24,0.05309734513274336,24,11.410386491005363,-5.292062113380219,-9.279336734495924,-1.304787492264512,0.009
BLCA,452,KANSL1,17,0.03761061946902655,17,1.5832327896477745,-1.3337287800468829,-6.070848911422333,3.403391351328567,0.288
BLCA,452,KDM6A,92,0.20353982300884957,102,6.355812378394865,0.4015653376001751,-1.5346749542981906,2.3378056294985408,0.65
BLCA,452,KLF5,25,0.05530973451327434,25,6.588894316227158,1.8262712199531137,-2.080499231631622,5.733041671537849,0.827
BLCA,452,KMT2C,87,0.19247787610619468,115,2.1558868863376928,-0.7598157365686262,-2.583669072757734,1.0640375996204816,0.234
BLCA,452,KMT2D,117,0.2588495575221239,150,2.5144565058171526,0.406271219953112,-1.1914723467745114,2.0040147866807354,0.66
BLCA,452,KRAS,18,0.03982300884955752,18,8.382477662297386,3.055160108842003,-1.5485581450271928,7.6588783627111985,0.873
BLCA,452,NFE2L2,26,0.05752212389380531,28,17.02904376095329,1.059128362810256,-2.632579019164894,4.750835744785405,0.737
BLCA,452,NRAS,8,0.017699115044247787,8,3.510888151078573,-5.333728780046883,-12.238331306266884,1.5708737461731186,0.088
