"","group","data","n","Age"
"1"," normal blood","Abelson et al.",817,58.6
"2"," normal blood","Abelson et al.",817,55.2
"3"," normal blood","Abelson et al.",817,60.8
"4"," normal blood","Abelson et al.",817,62.2
"5"," normal blood","Abelson et al.",817,62.6
"6"," normal blood","Abelson et al.",817,62.4
"7"," normal blood","Abelson et al.",817,62.4
"8"," normal blood","Abelson et al.",817,55.3
"9"," normal blood","Abelson et al.",817,55
"10"," normal blood","Abelson et al.",817,51.4
"11"," normal blood","Abelson et al.",817,52
"12"," normal blood","Abelson et al.",817,49.1
"13"," normal blood","Abelson et al.",817,46
"14"," normal blood","Abelson et al.",817,46.8
"15"," normal blood","Abelson et al.",817,46.2
"16"," normal blood","Abelson et al.",817,56.1
"17"," normal blood","Abelson et al.",817,57.1
"18"," normal blood","Abelson et al.",817,41.1
"19"," normal blood","Abelson et al.",817,41.6
"20"," normal blood","Abelson et al.",817,41.7
"21"," normal blood","Abelson et al.",817,41.6
"22"," normal blood","Abelson et al.",817,63.7
"23"," normal blood","Abelson et al.",817,63.7
"24"," normal blood","Abelson et al.",817,50
"25"," normal blood","Abelson et al.",817,49.8
"26"," normal blood","Abelson et al.",817,57.3
"27"," normal blood","Abelson et al.",817,57.9
"28"," normal blood","Abelson et al.",817,62.3
"29"," normal blood","Abelson et al.",817,55
"30"," normal blood","Abelson et al.",817,55.4
"31"," normal blood","Abelson et al.",817,55.7
"32"," normal blood","Abelson et al.",817,49.5
"33"," normal blood","Abelson et al.",817,58.2
"34"," normal blood","Abelson et al.",817,58.7
"35"," normal blood","Abelson et al.",817,59.3
"36"," normal blood","Abelson et al.",817,58.1
"37"," normal blood","Abelson et al.",817,58.7
"38"," normal blood","Abelson et al.",817,54.3
"39"," normal blood","Abelson et al.",817,55
"40"," normal blood","Abelson et al.",817,50.4
"41"," normal blood","Abelson et al.",817,50.2
"42"," normal blood","Abelson et al.",817,50.6
"43"," normal blood","Abelson et al.",817,63.8
"44"," normal blood","Abelson et al.",817,51.1
"45"," normal blood","Abelson et al.",817,48.1
"46"," normal blood","Abelson et al.",817,55.6
"47"," normal blood","Abelson et al.",817,55.5
"48"," normal blood","Abelson et al.",817,58.6
"49"," normal blood","Abelson et al.",817,64.2
"50"," normal blood","Abelson et al.",817,64.3
"51"," normal blood","Abelson et al.",817,64.8
"52"," normal blood","Abelson et al.",817,49.1
"53"," normal blood","Abelson et al.",817,57.8
"54"," normal blood","Abelson et al.",817,57.7
"55"," normal blood","Abelson et al.",817,60.8
"56"," normal blood","Abelson et al.",817,73.8
"57"," normal blood","Abelson et al.",817,60.4
"58"," normal blood","Abelson et al.",817,49.5
"59"," normal blood","Abelson et al.",817,48.8
"60"," normal blood","Abelson et al.",817,55.9
"61"," normal blood","Abelson et al.",817,55.1
"62"," normal blood","Abelson et al.",817,63.4
"63"," normal blood","Abelson et al.",817,56.9
"64"," normal blood","Abelson et al.",817,56.5
"65"," normal blood","Abelson et al.",817,56.6
"66"," normal blood","Abelson et al.",817,52.6
"67"," normal blood","Abelson et al.",817,52.2
"68"," normal blood","Abelson et al.",817,52.8
"69"," normal blood","Abelson et al.",817,55.7
"70"," normal blood","Abelson et al.",817,48.5
"71"," normal blood","Abelson et al.",817,59.6
"72"," normal blood","Abelson et al.",817,59.3
"73"," normal blood","Abelson et al.",817,59.4
"74"," normal blood","Abelson et al.",817,48.6
"75"," normal blood","Abelson et al.",817,48.9
"76"," normal blood","Abelson et al.",817,64.6
"77"," normal blood","Abelson et al.",817,57
"78"," normal blood","Abelson et al.",817,56.3
"79"," normal blood","Abelson et al.",817,52.9
"80"," normal blood","Abelson et al.",817,56.9
"81"," normal blood","Abelson et al.",817,55.4
"82"," normal blood","Abelson et al.",817,56.2
"83"," normal blood","Abelson et al.",817,52.7
"84"," normal blood","Abelson et al.",817,52.7
"85"," normal blood","Abelson et al.",817,53
"86"," normal blood","Abelson et al.",817,52.2
"87"," normal blood","Abelson et al.",817,56
"88"," normal blood","Abelson et al.",817,55.4
"89"," normal blood","Abelson et al.",817,73.9
"90"," normal blood","Abelson et al.",817,66.1
"91"," normal blood","Abelson et al.",817,66
"92"," normal blood","Abelson et al.",817,66.2
"93"," normal blood","Abelson et al.",817,70.1
"94"," normal blood","Abelson et al.",817,60.5
"95"," normal blood","Abelson et al.",817,49.9
"96"," normal blood","Abelson et al.",817,67.1
"97"," normal blood","Abelson et al.",817,67.1
"98"," normal blood","Abelson et al.",817,55.4
"99"," normal blood","Abelson et al.",817,67.5
"100"," normal blood","Abelson et al.",817,68
"101"," normal blood","Abelson et al.",817,68.7
"102"," normal blood","Abelson et al.",817,44.9
"103"," normal blood","Abelson et al.",817,44.5
"104"," normal blood","Abelson et al.",817,44.2
"105"," normal blood","Abelson et al.",817,63.2
"106"," normal blood","Abelson et al.",817,63.7
"107"," normal blood","Abelson et al.",817,55.8
"108"," normal blood","Abelson et al.",817,55.3
"109"," normal blood","Abelson et al.",817,55.5
"110"," normal blood","Abelson et al.",817,43.5
"111"," normal blood","Abelson et al.",817,56
"112"," normal blood","Abelson et al.",817,56.5
"113"," normal blood","Abelson et al.",817,56.3
"114"," normal blood","Abelson et al.",817,56.5
"115"," normal blood","Abelson et al.",817,43.2
"116"," normal blood","Abelson et al.",817,43.2
"117"," normal blood","Abelson et al.",817,61.1
"118"," normal blood","Abelson et al.",817,56.2
"119"," normal blood","Abelson et al.",817,56.8
"120"," normal blood","Abelson et al.",817,61.5
"121"," normal blood","Abelson et al.",817,61.6
"122"," normal blood","Abelson et al.",817,60.5
"123"," normal blood","Abelson et al.",817,56.5
"124"," normal blood","Abelson et al.",817,60
"125"," normal blood","Abelson et al.",817,60.2
"126"," normal blood","Abelson et al.",817,53.8
"127"," normal blood","Abelson et al.",817,43.3
"128"," normal blood","Abelson et al.",817,61.6
"129"," normal blood","Abelson et al.",817,50.6
"130"," normal blood","Abelson et al.",817,54.4
"131"," normal blood","Abelson et al.",817,54.9
"132"," normal blood","Abelson et al.",817,50.3
"133"," normal blood","Abelson et al.",817,46.4
"134"," normal blood","Abelson et al.",817,46.4
"135"," normal blood","Abelson et al.",817,50.6
"136"," normal blood","Abelson et al.",817,50.6
"137"," normal blood","Abelson et al.",817,62.6
"138"," normal blood","Abelson et al.",817,62.4
"139"," normal blood","Abelson et al.",817,36.7
"140"," normal blood","Abelson et al.",817,36.6
"141"," normal blood","Abelson et al.",817,36.1
"142"," normal blood","Abelson et al.",817,36.2
"143"," normal blood","Abelson et al.",817,58.4
"144"," normal blood","Abelson et al.",817,58.2
"145"," normal blood","Abelson et al.",817,60.6
"146"," normal blood","Abelson et al.",817,60.5
"147"," normal blood","Abelson et al.",817,58.4
"148"," normal blood","Abelson et al.",817,54.9
"149"," normal blood","Abelson et al.",817,54.1
"150"," normal blood","Abelson et al.",817,58.6
"151"," normal blood","Abelson et al.",817,64.2
"152"," normal blood","Abelson et al.",817,64.5
"153"," normal blood","Abelson et al.",817,59
"154"," normal blood","Abelson et al.",817,59.6
"155"," normal blood","Abelson et al.",817,40
"156"," normal blood","Abelson et al.",817,39.2
"157"," normal blood","Abelson et al.",817,50.7
"158"," normal blood","Abelson et al.",817,59.4
"159"," normal blood","Abelson et al.",817,56.3
"160"," normal blood","Abelson et al.",817,56.4
"161"," normal blood","Abelson et al.",817,56.3
"162"," normal blood","Abelson et al.",817,56.3
"163"," normal blood","Abelson et al.",817,50.7
"164"," normal blood","Abelson et al.",817,50.1
"165"," normal blood","Abelson et al.",817,39.2
"166"," normal blood","Abelson et al.",817,50.2
"167"," normal blood","Abelson et al.",817,56.4
"168"," normal blood","Abelson et al.",817,52.2
"169"," normal blood","Abelson et al.",817,55.4
"170"," normal blood","Abelson et al.",817,55.8
"171"," normal blood","Abelson et al.",817,48.2
"172"," normal blood","Abelson et al.",817,68.6
"173"," normal blood","Abelson et al.",817,57
"174"," normal blood","Abelson et al.",817,69
"175"," normal blood","Abelson et al.",817,52.8
"176"," normal blood","Abelson et al.",817,56.2
"177"," normal blood","Abelson et al.",817,52.8
"178"," normal blood","Abelson et al.",817,55.4
"179"," normal blood","Abelson et al.",817,48.4
"180"," normal blood","Abelson et al.",817,69.5
"181"," normal blood","Abelson et al.",817,67.7
"182"," normal blood","Abelson et al.",817,48.9
"183"," normal blood","Abelson et al.",817,58.5
"184"," normal blood","Abelson et al.",817,58.8
"185"," normal blood","Abelson et al.",817,64.8
"186"," normal blood","Abelson et al.",817,46.9
"187"," normal blood","Abelson et al.",817,46.7
"188"," normal blood","Abelson et al.",817,46.9
"189"," normal blood","Abelson et al.",817,46.6
"190"," normal blood","Abelson et al.",817,55.3
"191"," normal blood","Abelson et al.",817,67.3
"192"," normal blood","Abelson et al.",817,69.1
"193"," normal blood","Abelson et al.",817,58.4
"194"," normal blood","Abelson et al.",817,69.6
"195"," normal blood","Abelson et al.",817,69.6
"196"," normal blood","Abelson et al.",817,64.4
"197"," normal blood","Abelson et al.",817,74.4
"198"," normal blood","Abelson et al.",817,55.1
"199"," normal blood","Abelson et al.",817,37
"200"," normal blood","Abelson et al.",817,69.8
"201"," normal blood","Abelson et al.",817,70
"202"," normal blood","Abelson et al.",817,70.8
"203"," normal blood","Abelson et al.",817,64.3
"204"," normal blood","Abelson et al.",817,74.2
"205"," normal blood","Abelson et al.",817,58.2
"206"," normal blood","Abelson et al.",817,58.6
"207"," normal blood","Abelson et al.",817,52.1
"208"," normal blood","Abelson et al.",817,67.4
"209"," normal blood","Abelson et al.",817,52.8
"210"," normal blood","Abelson et al.",817,67.1
"211"," normal blood","Abelson et al.",817,68.9
"212"," normal blood","Abelson et al.",817,38.4
"213"," normal blood","Abelson et al.",817,38.9
"214"," normal blood","Abelson et al.",817,38.6
"215"," normal blood","Abelson et al.",817,68.2
"216"," normal blood","Abelson et al.",817,68.4
"217"," normal blood","Abelson et al.",817,43.6
"218"," normal blood","Abelson et al.",817,70.5
"219"," normal blood","Abelson et al.",817,36.5
"220"," normal blood","Abelson et al.",817,46
"221"," normal blood","Abelson et al.",817,70.6
"222"," normal blood","Abelson et al.",817,43.3
"223"," normal blood","Abelson et al.",817,36.2
"224"," normal blood","Abelson et al.",817,43.2
"225"," normal blood","Abelson et al.",817,36.7
"226"," normal blood","Abelson et al.",817,66.1
"227"," normal blood","Abelson et al.",817,66.4
"228"," normal blood","Abelson et al.",817,55.8
"229"," normal blood","Abelson et al.",817,71.1
"230"," normal blood","Abelson et al.",817,55.6
"231"," normal blood","Abelson et al.",817,54.3
"232"," normal blood","Abelson et al.",817,54.1
"233"," normal blood","Abelson et al.",817,54.7
"234"," normal blood","Abelson et al.",817,54.7
"235"," normal blood","Abelson et al.",817,56.2
"236"," normal blood","Abelson et al.",817,56.1
"237"," normal blood","Abelson et al.",817,56.2
"238"," normal blood","Abelson et al.",817,43.5
"239"," normal blood","Abelson et al.",817,42.6
"240"," normal blood","Abelson et al.",817,42.8
"241"," normal blood","Abelson et al.",817,42.2
"242"," normal blood","Abelson et al.",817,57.9
"243"," normal blood","Abelson et al.",817,57.2
"244"," normal blood","Abelson et al.",817,36.9
"245"," normal blood","Abelson et al.",817,36.5
"246"," normal blood","Abelson et al.",817,68.6
"247"," normal blood","Abelson et al.",817,51
"248"," normal blood","Abelson et al.",817,51.1
"249"," normal blood","Abelson et al.",817,51.1
"250"," normal blood","Abelson et al.",817,72.6
"251"," normal blood","Abelson et al.",817,72.6
"252"," normal blood","Abelson et al.",817,72.8
"253"," normal blood","Abelson et al.",817,68.4
"254"," normal blood","Abelson et al.",817,68.7
"255"," normal blood","Abelson et al.",817,63.4
"256"," normal blood","Abelson et al.",817,63.2
"257"," normal blood","Abelson et al.",817,55.2
"258"," normal blood","Abelson et al.",817,71.8
"259"," normal blood","Abelson et al.",817,71.8
"260"," normal blood","Abelson et al.",817,55.6
"261"," normal blood","Abelson et al.",817,71.4
"262"," normal blood","Abelson et al.",817,43.4
"263"," normal blood","Abelson et al.",817,64
"264"," normal blood","Abelson et al.",817,66.7
"265"," normal blood","Abelson et al.",817,66
"266"," normal blood","Abelson et al.",817,58.9
"267"," normal blood","Abelson et al.",817,58.4
"268"," normal blood","Abelson et al.",817,67.3
"269"," normal blood","Abelson et al.",817,56.6
"270"," normal blood","Abelson et al.",817,56.5
"271"," normal blood","Abelson et al.",817,56.4
"272"," normal blood","Abelson et al.",817,64.2
"273"," normal blood","Abelson et al.",817,64.3
"274"," normal blood","Abelson et al.",817,64.3
"275"," normal blood","Abelson et al.",817,64.7
"276"," normal blood","Abelson et al.",817,42.1
"277"," normal blood","Abelson et al.",817,56
"278"," normal blood","Abelson et al.",817,60.8
"279"," normal blood","Abelson et al.",817,56.7
"280"," normal blood","Abelson et al.",817,36.8
"281"," normal blood","Abelson et al.",817,68.5
"282"," normal blood","Abelson et al.",817,48.3
"283"," normal blood","Abelson et al.",817,71.5
"284"," normal blood","Abelson et al.",817,43.6
"285"," normal blood","Abelson et al.",817,43.9
"286"," normal blood","Abelson et al.",817,43.9
"287"," normal blood","Abelson et al.",817,71.9
"288"," normal blood","Abelson et al.",817,66.9
"289"," normal blood","Abelson et al.",817,66.5
"290"," normal blood","Abelson et al.",817,61.9
"291"," normal blood","Abelson et al.",817,63.3
"292"," normal blood","Abelson et al.",817,51.5
"293"," normal blood","Abelson et al.",817,51.5
"294"," normal blood","Abelson et al.",817,56.6
"295"," normal blood","Abelson et al.",817,56.4
"296"," normal blood","Abelson et al.",817,50.5
"297"," normal blood","Abelson et al.",817,50.4
"298"," normal blood","Abelson et al.",817,50.9
"299"," normal blood","Abelson et al.",817,51.8
"300"," normal blood","Abelson et al.",817,51.6
"301"," normal blood","Abelson et al.",817,61.4
"302"," normal blood","Abelson et al.",817,71.3
"303"," normal blood","Abelson et al.",817,49.5
"304"," normal blood","Abelson et al.",817,49.9
"305"," normal blood","Abelson et al.",817,49.4
"306"," normal blood","Abelson et al.",817,71.6
"307"," normal blood","Abelson et al.",817,71.5
"308"," normal blood","Abelson et al.",817,61.8
"309"," normal blood","Abelson et al.",817,61.3
"310"," normal blood","Abelson et al.",817,61.9
"311"," normal blood","Abelson et al.",817,71.6
"312"," normal blood","Abelson et al.",817,56.2
"313"," normal blood","Abelson et al.",817,56.8
"314"," normal blood","Abelson et al.",817,56.5
"315"," normal blood","Abelson et al.",817,57
"316"," normal blood","Abelson et al.",817,56.7
"317"," normal blood","Abelson et al.",817,49.8
"318"," normal blood","Abelson et al.",817,51.5
"319"," normal blood","Abelson et al.",817,51.7
"320"," normal blood","Abelson et al.",817,51.4
"321"," normal blood","Abelson et al.",817,61.6
"322"," normal blood","Abelson et al.",817,51.6
"323"," normal blood","Abelson et al.",817,61.1
"324"," normal blood","Abelson et al.",817,73.8
"325"," normal blood","Abelson et al.",817,73.9
"326"," normal blood","Abelson et al.",817,66.5
"327"," normal blood","Abelson et al.",817,71.4
"328"," normal blood","Abelson et al.",817,48.9
"329"," normal blood","Abelson et al.",817,64.5
"330"," normal blood","Abelson et al.",817,56.3
"331"," normal blood","Abelson et al.",817,56.6
"332"," normal blood","Abelson et al.",817,73.6
"333"," normal blood","Abelson et al.",817,73.7
"334"," normal blood","Abelson et al.",817,66.7
"335"," normal blood","Abelson et al.",817,70.3
"336"," normal blood","Abelson et al.",817,70.8
"337"," normal blood","Abelson et al.",817,73.9
"338"," normal blood","Abelson et al.",817,73.2
"339"," normal blood","Abelson et al.",817,58.1
"340"," normal blood","Abelson et al.",817,70
"341"," normal blood","Abelson et al.",817,70
"342"," normal blood","Abelson et al.",817,59.2
"343"," normal blood","Abelson et al.",817,66.9
"344"," normal blood","Abelson et al.",817,60.4
"345"," normal blood","Abelson et al.",817,60.6
"346"," normal blood","Abelson et al.",817,57.6
"347"," normal blood","Abelson et al.",817,54.1
"348"," normal blood","Abelson et al.",817,56.7
"349"," normal blood","Abelson et al.",817,55.8
"350"," normal blood","Abelson et al.",817,68.8
"351"," normal blood","Abelson et al.",817,69.2
"352"," normal blood","Abelson et al.",817,63.3
"353"," normal blood","Abelson et al.",817,58.1
"354"," normal blood","Abelson et al.",817,64.5
"355"," normal blood","Abelson et al.",817,64.2
"356"," normal blood","Abelson et al.",817,57.9
"357"," normal blood","Abelson et al.",817,57.3
"358"," normal blood","Abelson et al.",817,61.1
"359"," normal blood","Abelson et al.",817,53.4
"360"," normal blood","Abelson et al.",817,51.4
"361"," normal blood","Abelson et al.",817,52.9
"362"," normal blood","Abelson et al.",817,59.5
"363"," normal blood","Abelson et al.",817,59.7
"364"," normal blood","Abelson et al.",817,39.2
"365"," normal blood","Abelson et al.",817,49.2
"366"," normal blood","Abelson et al.",817,64.9
"367"," normal blood","Abelson et al.",817,55.9
"368"," normal blood","Abelson et al.",817,59.4
"369"," normal blood","Abelson et al.",817,54.7
"370"," normal blood","Abelson et al.",817,50.7
"371"," normal blood","Abelson et al.",817,46.9
"372"," normal blood","Abelson et al.",817,69.6
"373"," normal blood","Abelson et al.",817,64.9
"374"," normal blood","Abelson et al.",817,55.1
"375"," normal blood","Abelson et al.",817,62.5
"376"," normal blood","Abelson et al.",817,67.9
"377"," normal blood","Abelson et al.",817,67.4
"378"," normal blood","Abelson et al.",817,64.9
"379"," normal blood","Abelson et al.",817,67.9
"380"," normal blood","Abelson et al.",817,68.4
"381"," normal blood","Abelson et al.",817,52.4
"382"," normal blood","Abelson et al.",817,63.5
"383"," normal blood","Abelson et al.",817,58.1
"384"," normal blood","Abelson et al.",817,55
"385"," normal blood","Abelson et al.",817,58.9
"386"," normal blood","Abelson et al.",817,64.4
"387"," normal blood","Abelson et al.",817,58.8
"388"," normal blood","Abelson et al.",817,60.8
"389"," normal blood","Abelson et al.",817,67.8
"390"," normal blood","Abelson et al.",817,70.3
"391"," normal blood","Abelson et al.",817,53.8
"392"," normal blood","Abelson et al.",817,58.9
"393"," normal blood","Abelson et al.",817,49.1
"394"," normal blood","Abelson et al.",817,58.5
"395"," normal blood","Abelson et al.",817,58
"396"," normal blood","Abelson et al.",817,54.5
"397"," normal blood","Abelson et al.",817,48.7
"398"," normal blood","Abelson et al.",817,61
"399"," normal blood","Abelson et al.",817,46.3
"400"," normal blood","Abelson et al.",817,49.1
"401"," normal blood","Abelson et al.",817,67.2
"402"," normal blood","Abelson et al.",817,64.9
"403"," normal blood","Abelson et al.",817,62.3
"404"," normal blood","Abelson et al.",817,55.4
"405"," normal blood","Abelson et al.",817,67.8
"406"," normal blood","Abelson et al.",817,66.7
"407"," normal blood","Abelson et al.",817,72.8
"408"," normal blood","Abelson et al.",817,64.3
"409"," normal blood","Abelson et al.",817,56.2
"410"," normal blood","Abelson et al.",817,68.4
"411"," normal blood","Abelson et al.",817,71.2
"412"," normal blood","Abelson et al.",817,56.9
"413"," normal blood","Abelson et al.",817,48.2
"414"," normal blood","Abelson et al.",817,48.2
"415"," normal blood","Abelson et al.",817,68.2
"416"," normal blood","Abelson et al.",817,63.8
"417"," normal blood","Abelson et al.",817,47.4
"418"," normal blood","Abelson et al.",817,54.7
"419"," normal blood","Abelson et al.",817,51.8
"420"," normal blood","Abelson et al.",817,62
"421"," normal blood","Abelson et al.",817,72
"422"," normal blood","Abelson et al.",817,75
"423"," normal blood","Abelson et al.",817,55.9
"424"," normal blood","Abelson et al.",817,68.6
"425"," normal blood","Abelson et al.",817,49.8
"426"," normal blood","Abelson et al.",817,56.8
"427"," normal blood","Abelson et al.",817,65.1
"428"," normal blood","Abelson et al.",817,61.2
"429"," normal blood","Abelson et al.",817,67.2
"430"," normal blood","Abelson et al.",817,69
"431"," normal blood","Abelson et al.",817,53.3
"432"," normal blood","Abelson et al.",817,68.8
"433"," normal blood","Abelson et al.",817,68.2
"434"," normal blood","Abelson et al.",817,67.1
"435"," normal blood","Abelson et al.",817,48.2
"436"," normal blood","Abelson et al.",817,68.6
"437"," normal blood","Abelson et al.",817,49.7
"438"," normal blood","Abelson et al.",817,65.1
"439"," normal blood","Abelson et al.",817,48.9
"440"," normal blood","Abelson et al.",817,57.6
"441"," normal blood","Abelson et al.",817,54.5
"442"," normal blood","Abelson et al.",817,45.9
"443"," normal blood","Abelson et al.",817,67.3
"444"," normal blood","Abelson et al.",817,45.7
"445"," normal blood","Abelson et al.",817,48.8
"446"," normal blood","Abelson et al.",817,62.8
"447"," normal blood","Abelson et al.",817,65.7
"448"," normal blood","Abelson et al.",817,64
"449"," normal blood","Abelson et al.",817,70
"450"," normal blood","Abelson et al.",817,55.4
"451"," normal blood","Abelson et al.",817,64.5
"452"," normal blood","Abelson et al.",817,68.4
"453"," normal blood","Abelson et al.",817,68.2
"454"," normal blood","Abelson et al.",817,64
"455"," normal blood","Abelson et al.",817,65.5
"456"," normal blood","Abelson et al.",817,67.5
"457"," normal blood","Abelson et al.",817,61.7
"458"," normal blood","Abelson et al.",817,59.2
"459"," normal blood","Abelson et al.",817,61.4
"460"," normal blood","Abelson et al.",817,72.7
"461"," normal blood","Abelson et al.",817,59
"462"," normal blood","Abelson et al.",817,61.7
"463"," normal blood","Abelson et al.",817,65.2
"464"," normal blood","Abelson et al.",817,69.3
"465"," normal blood","Abelson et al.",817,64.9
"466"," normal blood","Abelson et al.",817,56.6
"467"," normal blood","Abelson et al.",817,46.4
"468"," normal blood","Abelson et al.",817,69
"469"," normal blood","Abelson et al.",817,67.7
"470"," normal blood","Abelson et al.",817,68.9
"471"," normal blood","Abelson et al.",817,71.5
"472"," normal blood","Abelson et al.",817,66.7
"473"," normal blood","Abelson et al.",817,53.5
"474"," normal blood","Abelson et al.",817,68.4
"475"," normal blood","Abelson et al.",817,56.7
"476"," normal blood","Abelson et al.",817,68.9
"477"," normal blood","Abelson et al.",817,69.8
"478"," normal blood","Abelson et al.",817,70.1
"479"," normal blood","Abelson et al.",817,48.1
"480"," normal blood","Abelson et al.",817,49.5
"481"," normal blood","Abelson et al.",817,60.2
"482"," normal blood","Abelson et al.",817,61.3
"483"," normal blood","Abelson et al.",817,56.2
"484"," normal blood","Abelson et al.",817,50.5
"485"," normal blood","Abelson et al.",817,64.8
"486"," normal blood","Abelson et al.",817,57.1
"487"," normal blood","Abelson et al.",817,47.7
"488"," normal blood","Abelson et al.",817,68.5
"489"," normal blood","Abelson et al.",817,63.5
"490"," normal blood","Abelson et al.",817,69.4
"491"," normal blood","Abelson et al.",817,75
"492"," normal blood","Abelson et al.",817,67.5
"493"," normal blood","Abelson et al.",817,73.3
"494"," normal blood","Abelson et al.",817,70.3
"495"," normal blood","Abelson et al.",817,57.4
"496"," normal blood","Abelson et al.",817,71.7
"497"," normal blood","Abelson et al.",817,66.9
"498"," normal blood","Abelson et al.",817,44.4
"499"," normal blood","Abelson et al.",817,57.8
"500"," normal blood","Abelson et al.",817,47.8
"501"," normal blood","Abelson et al.",817,68.8
"502"," normal blood","Abelson et al.",817,65.3
"503"," normal blood","Abelson et al.",817,72
"504"," normal blood","Abelson et al.",817,64.9
"505"," normal blood","Abelson et al.",817,70.3
"506"," normal blood","Abelson et al.",817,48.3
"507"," normal blood","Abelson et al.",817,60.1
"508"," normal blood","Abelson et al.",817,63.4
"509"," normal blood","Abelson et al.",817,57.3
"510"," normal blood","Abelson et al.",817,58.6
"511"," normal blood","Abelson et al.",817,73.3
"512"," normal blood","Abelson et al.",817,70.4
"513"," normal blood","Abelson et al.",817,65.7
"514"," normal blood","Abelson et al.",817,74.8
"515"," normal blood","Abelson et al.",817,65.4
"516"," normal blood","Abelson et al.",817,60.3
"517"," normal blood","Abelson et al.",817,67
"518"," normal blood","Abelson et al.",817,63.7
"519"," normal blood","Abelson et al.",817,64.8
"520"," normal blood","Abelson et al.",817,72.3
"521"," normal blood","Abelson et al.",817,53
"522"," normal blood","Abelson et al.",817,49.4
"523"," normal blood","Abelson et al.",817,47.9
"524"," normal blood","Abelson et al.",817,70.6
"525"," normal blood","Abelson et al.",817,50
"526"," normal blood","Abelson et al.",817,69.9
"527"," normal blood","Abelson et al.",817,56.4
"528"," normal blood","Abelson et al.",817,62.6
"529"," normal blood","Abelson et al.",817,65.8
"530"," normal blood","Abelson et al.",817,69.3
"531"," normal blood","Abelson et al.",817,71.4
"532"," normal blood","Abelson et al.",817,72.9
"533"," normal blood","Abelson et al.",817,68.9
"534"," normal blood","Abelson et al.",817,63.2
"535"," normal blood","Abelson et al.",817,59.9
"536"," normal blood","Abelson et al.",817,74.5
"537"," normal blood","Abelson et al.",817,56.2
"538"," normal blood","Abelson et al.",817,65.2
"539"," normal blood","Abelson et al.",817,73.5
"540"," normal blood","Abelson et al.",817,73.5
"541"," normal blood","Abelson et al.",817,77.4
"542"," normal blood","Abelson et al.",817,66
"543"," normal blood","Abelson et al.",817,76.2
"544"," normal blood","Abelson et al.",817,61
"545"," normal blood","Abelson et al.",817,52.3
"546"," normal blood","Abelson et al.",817,52.6
"547"," normal blood","Abelson et al.",817,76.5
"548"," normal blood","Abelson et al.",817,76.3
"549"," normal blood","Abelson et al.",817,67.7
"550"," normal blood","Abelson et al.",817,70
"551"," normal blood","Abelson et al.",817,56.4
"552"," normal blood","Abelson et al.",817,52.7
"553"," normal blood","Abelson et al.",817,73.7
"554"," normal blood","Abelson et al.",817,77.1
"555"," normal blood","Abelson et al.",817,71.3
"556"," normal blood","Abelson et al.",817,67.4
"557"," normal blood","Abelson et al.",817,66.3
"558"," normal blood","Abelson et al.",817,68.6
"559"," normal blood","Abelson et al.",817,65.7
"560"," normal blood","Abelson et al.",817,68.2
"561"," normal blood","Abelson et al.",817,56.9
"562"," normal blood","Abelson et al.",817,76.1
"563"," normal blood","Abelson et al.",817,76.4
"564"," normal blood","Abelson et al.",817,76.3
"565"," normal blood","Abelson et al.",817,66.4
"566"," normal blood","Abelson et al.",817,72.4
"567"," normal blood","Abelson et al.",817,72.9
"568"," normal blood","Abelson et al.",817,66.3
"569"," normal blood","Abelson et al.",817,61.8
"570"," normal blood","Abelson et al.",817,56.8
"571"," normal blood","Abelson et al.",817,71.6
"572"," normal blood","Abelson et al.",817,52.3
"573"," normal blood","Abelson et al.",817,63.9
"574"," normal blood","Abelson et al.",817,69.1
"575"," normal blood","Abelson et al.",817,57
"576"," normal blood","Abelson et al.",817,73.3
"577"," normal blood","Abelson et al.",817,62.5
"578"," normal blood","Abelson et al.",817,71.9
"579"," normal blood","Abelson et al.",817,68.5
"580"," normal blood","Abelson et al.",817,52.9
"581"," normal blood","Abelson et al.",817,63.6
"582"," normal blood","Abelson et al.",817,79.3
"583"," normal blood","Abelson et al.",817,56
"584"," normal blood","Abelson et al.",817,73.4
"585"," normal blood","Abelson et al.",817,71.6
"586"," normal blood","Abelson et al.",817,69.6
"587"," normal blood","Abelson et al.",817,77.6
"588"," normal blood","Abelson et al.",817,58.3
"589"," normal blood","Abelson et al.",817,72.8
"590"," normal blood","Abelson et al.",817,71.1
"591"," normal blood","Abelson et al.",817,53.9
"592"," normal blood","Abelson et al.",817,45.6
"593"," normal blood","Abelson et al.",817,51.6
"594"," normal blood","Abelson et al.",817,63.8
"595"," normal blood","Abelson et al.",817,69.7
"596"," normal blood","Abelson et al.",817,57.7
"597"," normal blood","Abelson et al.",817,70.2
"598"," normal blood","Abelson et al.",817,52.5
"599"," normal blood","Abelson et al.",817,79.5
"600"," normal blood","Abelson et al.",817,60.2
"601"," normal blood","Abelson et al.",817,65.7
"602"," normal blood","Abelson et al.",817,53.5
"603"," normal blood","Abelson et al.",817,73.6
"604"," normal blood","Abelson et al.",817,50.1
"605"," normal blood","Abelson et al.",817,69.6
"606"," normal blood","Abelson et al.",817,57
"607"," normal blood","Abelson et al.",817,54
"608"," normal blood","Abelson et al.",817,79.6
"609"," normal blood","Abelson et al.",817,71.3
"610"," normal blood","Abelson et al.",817,74.4
"611"," normal blood","Abelson et al.",817,65.3
"612"," normal blood","Abelson et al.",817,77.5
